alimento,calorias,proteinas,gordura,colesterol,carboidratos,fibras,calcio,magnesio,fosforo,ferro,sodio,potassio,cobre,zinco,grupoAlimentar
"Arroz, integral, cozido",124,"2,6","1,0",,"25,8","2,7",5,59,106,"0,3",1,75,"0,02","0,7",Cereais e derivados
"Arroz, integral, cru",360,"7,3","1,9",,"77,5","4,8",8,110,251,"0,9",2,173,"0,07","1,4",Cereais e derivados
"Arroz, tipo 1, cozido",128,"2,5","0,2",,"28,1","1,6",4,2,18,"0,1",1,15,"0,02","0,5",Cereais e derivados
"Arroz, tipo 1, cru",358,"7,2","0,3",,"78,8","1,6",4,30,104,"0,7",1,62,"0,11","1,2",Cereais e derivados
"Arroz, tipo 2, cozido",130,"2,6","0,4",,"28,2","1,1",3,6,22,"0,1",2,20,"0,04","0,5",Cereais e derivados
"Arroz, tipo 2, cru",358,"7,2","0,3",,"78,9","1,7",5,29,82,"0,6",1,57,"0,05","1,3",Cereais e derivados
"Aveia, flocos, crua",394,"13,9","8,5",,"66,6","9,1",48,119,153,"4,4",5,336,"0,44","2,6",Cereais e derivados
"Biscoito, doce, maise",443,"8,1","12,0",,"75,2","2,1",54,37,166,"1,8",352,142,"0,17","1,0",Cereais e derivados
"Biscoito, doce, recheado com chocolate",472,"6,4","19,6",,"70,5","3,0",27,48,139,"2,3",239,232,"0,27","1,0",Cereais e derivados
"Biscoito, doce, recheado com morango",471,"5,7","19,6",,"71,0","1,5",36,27,138,"1,5",230,113,"0,13","0,7",Cereais e derivados
"Biscoito, doce, wafer, recheado de chocolate",502,"5,6","24,7",,"67,5","1,8",23,48,124,"2,4",137,240,"0,26","0,9",Cereais e derivados
"Biscoito, doce, wafer, recheado de morango",513,"4,5","26,4",1,"67,4","0,8",14,19,73,"1,1",120,75,"0,08","0,5",Cereais e derivados
"Biscoito, salgado, cream cracker",432,"10,1","14,4",,"68,7","2,5",20,40,148,"2,2",854,181,"0,18","1,1",Cereais e derivados
"Bolo, mistura para",419,"6,2","6,1",,"84,7","1,7",59,28,333,"1,2",463,75,"0,15","0,6",Cereais e derivados
